timestamp,2_FIC_101_PV,1_AIT_003_PV,1_AIT_004_PV,2_FIC_201_PV,2_FIC_301_PV,2_FIC_401_PV,1_AIT_001_PV,1_AIT_002_PV,1_AIT_005_PV,1_FIT_001_PV,1_LS_002_AL,1_LT_001_PV,1_MV_002_STATUS,1_P_001_STATUS,1_P_002_STATUS,2_FIC_101_CO,2_FIC_201_SP,2_FIC_401_SP,2_FIC_601_CO,2_FIT_002_PV,2_FQ_101_PV,2_LS_101_AH,2_LS_201_AH,2_LS_201_AL,2_LS_301_AL,2_LS_401_AL,2_LS_601_AL,2_LT_001_PV,2_LT_002_PV,2_MCV_007_CO,2_MCV_101_CO,2_MCV_201_CO,2_MCV_301_CO,2_MCV_401_CO,2_MCV_501_CO,2_MCV_601_CO,2_MV_001_STATUS,2_MV_005_STATUS,2_MV_301_STATUS,2_MV_401_STATUS,2_PIC_003_CO,2_PIC_003_PV,2_PIT_001_PV,2_PIT_002_PV,2_PIT_003_PV,2_SV_401_STATUS,2A_AIT_001_PV,2A_AIT_004_PV,2B_AIT_001_PV,2B_AIT_002_PV,2B_AIT_003_PV,3_AIT_001_PV,3_AIT_002_PV,3_AIT_004_PV,3_P_002_STATUS,3_P_003_STATUS,LEAK_DIFF_PRESSURE,2_FQ_301_PV,2_SV_501_STATUS,2_MV_002_STATUS,3_LT_001_PV,3_AIT_005_PV,2_FIC_601_SP,2_LS_501_AH,2_MV_101_STATUS,3_AIT_003_PV,3_MV_003_STATUS,3_P_004_STATUS,1_LS_001_AL,1_MV_001_STATUS,1_MV_003_STATUS,1_MV_004_STATUS,1_P_003_STATUS,1_P_004_STATUS,1_P_005_STATUS,1_P_006_STATUS,2_DPIT_001_PV,2_FIC_101_SP,2_FIC_201_CO,2_FIC_301_CO,2_FIC_301_SP,2_FIC_401_CO,2_FIC_501_CO,2_FIC_501_PV,2_FIC_501_SP,2_FIC_601_PV,2_FIT_001_PV,2_FIT_003_PV,2_FQ_201_PV,2_FQ_401_PV,2_FQ_501_PV,2_FQ_601_PV,2_LS_101_AL,2_LS_301_AH,2_LS_401_AH,2_LS_501_AL,2_LS_601_AH,2_MV_003_STATUS,2_MV_004_STATUS,2_MV_006_STATUS,2_MV_009_STATUS,2_MV_201_STATUS,2_MV_501_STATUS,2_MV_601_STATUS,2_P_003_SPEED,2_P_003_STATUS,2_P_004_SPEED,2_P_004_STATUS,2_PIC_003_SP,2_SV_101_STATUS,2_SV_201_STATUS,2_SV_301_STATUS,2_SV_601_STATUS,2A_AIT_002_PV,2A_AIT_003_PV,2B_AIT_004_PV,3_FIT_001_PV,3_LS_001_AL,3_MV_001_STATUS,3_MV_002_STATUS,3_P_001_STATUS,PLANT_START_STOP_LOG,TOTAL_CONS_REQUIRED_FLOW
1715704071431,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.119365,,0.119564,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
1715704069001,,,,,,0.119008,,,,,,,1,,,,0.12,0.12,30.1148,,,,,,,0,,,,,,,,,,27.1768,,2,,,,,,,,1,,,,,,,,,,,,0.110679,,,,,,,,,,,,,1,,1,,,1,,,,25.7109,,20.2323,,0.115646,,0.119564,,,,,,,0,0,,,,1,,,2,1,1,,-0.0149362,,,,,,,1,,,,,,,,,,,
1715704058960,,,,,0.111457,,,0.733459,,,,,,1,,,,,,0.659576,,0,0,,,,,,,,,,20.2279,,,,1,,1,,,,,,0.0134112,,0.176758,,,,8.57822,,0,,,,61.9602,,1,,,0.394701,,0,,,,1,,,,1,,,,,2487.12,0.1,,,0.11,,,,0.12,,,0,0.11454,,0.117258,,,,0,,,,,,,,,,,,0.0293285,,1,,,,,0.0000000000000000000000000000000000000000549407,8.5625,475.778,,,,,1,1,0.56
1715704048952,0.0904695,,499.683,,,,169.127,,,,0,49.686,,,1,27.3483,,,,,0.0891847,,,0,0,,,70.057,73.133,0,30.1148,19.7344,,25.7182,25.038,,,,,1,50,,151.708,87.9722,,,,476.793,0.200195,,,,,,,,61.9703,,,1,,,0.12,,1,1.48952,,1,0,,,,,,1,,,,,,,,19.8048,,,,0,,,0.119365,,,,,,0,0,,2,,,,,1,,1,,1,,1,1,,1,,,,,1,,,,1,0.56
1715704038987,,11.6536,,0.112086,,0.119008,,,0.293,9.51961E-4,,,,,,,0.12,,30.1148,,,,,,,0,0,,,,,,,,,27.1768,,2,,,,0.013186,,,,,,,,9.13652,,0,,571.814,,1,62.0695,0.111113,,,64.41,,,,,,1,1,,1,,,1,1,,,,,26.6232,25.7109,,20.2323,,0.114878,,0.119564,,,,,,0.121538,0,0,,,,1,,1,2,1,1,,-0.0149362,,,,,,,1,,,,,0.00120193,,1,1,,1,0.56
1715704028969,,,,,,,,,,,,,1,1,,,,0.12,,0.659576,,0,0,,,,,,,,,,20.2279,,,,1,,1,,,,,,0.0134112,1,0.176758,,,,8.57822,,0,,1,,61.9699,,1,,,0.394701,,0,,,,1,,,1,,,,,1,2487.12,,,,0.11,,,,0.12,,,0,0.11454,,0.117258,,,,0,,,,,,,,,,,,0.0320986,,,,,,,0.0000000000000000000000000000000000000000551425,8.5625,475.778,,,,,1,1,0.56
1715704018469,0.0904695,,,,0.111457,,169.127,0.733459,,,0,49.686,,,1,,,,,,0.0921959,,,0,0,,,70.057,73.133,0,30.1318,19.7344,,25.7191,25.038,,,,,1,50,,,87.6786,,,,476.793,0.200195,,,,,,,,61.9492,,,1,,,0.12,,1,,,1,0,,,1,,,1,,,0.1,,,,,19.8048,,,,,,,0.117635,,,,,,0,0,,2,,,,,,,1,,1,1,1,,,1,,,,,1,,,,1,0.56
1715704008936,,,499.683,0.112086,,0.119008,,,0.28644,9.51961E-4,,,,,,27.3483,0.12,,30.1148,,,,,,,0,0,,,,,,,,,,,2,,,,0.013186,151.708,,,,,,,9.13652,,0,,,,1,61.9664,,,,64.41,,,,,1.48952,1,1,,1,,,1,1,,,,,26.4793,25.7109,,20.2323,,,,0.119564,0,,,,,0.121538,0,0,,,,1,,1,2,1,1,1,-0.0149362,,,,,,1,1,,,,,0.00120193,,1,1,,1,0.56
1715703999032,,11.6524,,,,,,,,,,,1,1,,,,0.12,,,,0,,,,,,,,,,,20.2279,,,27.1768,1,,,,,,,,0.013186,1,0.176758,,,,,,0,571.814,1,,61.9731,0.111113,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,0.114878,0.12,,,0,,,,,,,0,,,,,,,,,,,,0.0320986,,,,,,,0.0000000000000000000000000000000000000000551425,8.5625,,,,,,1,1,0.56
1715703988998,0.0904695,,,,0.111457,,169.127,0.733459,,,,,,,,,,,,0.659576,0.0921959,,0,0,0,,,70.057,73.133,0,,19.7344,,,,,,,1,1,50,,,87.6786,,,,476.793,,,8.59091,,,,,,61.6275,,,,,0.394701,0.12,0,1,,,1,0,,,1,,,1,,2487.11,0.1,,,0.11,,19.8048,,,,,,0.11454,,0.11679,,,,,,0,,2,,,,,,,1,,1,1,,,,,,,475.778,,,,,,1,0.56
