name,type
POT_CCM,ESAMUR Device
TURB1,ESAMUR Device
CAUDAL_PURGA,ESAMUR Device
REDOX_SAL,ESAMUR Device
CLORO_SAL,ESAMUR Device
CAUDAL_TERCIARIO,ESAMUR Device
FT1,ESAMUR Device
pH_Entrada,ESAMUR Device
SH2_AguaBruta,ESAMUR Device
SH2_Pretratamiento,ESAMUR Device
POT_CCM3,ESAMUR Device
Redox_Bio_Lin_1,ESAMUR Device
Redox_Bio_Lin_2,ESAMUR Device
reserva4,ESAMUR Device
ODZ3_L2,ESAMUR Device
SAB,ESAMUR Device
FT10,ESAMUR Device
TT5,ESAMUR Device
TT6,ESAMUR Device
SM2,ESAMUR Device
SM3,ESAMUR Device
SN1,ESAMUR Device
SAB2,ESAMUR Device
CLOR2,ESAMUR Device
POTASIO2,ESAMUR Device
REe,ESAMUR Device
TT7,ESAMUR Device
TT8,ESAMUR Device
FT11,ESAMUR Device
FT12,ESAMUR Device
FIT13_PLC4,ESAMUR Device
