sensor,min,max
PUERTO.PLC11.CLORO_PLC11,0.0034722089767456,2.0
PUERTO.PLC11.TURBIDEZ_PLC11,0.0607638359069824,0.4947915077209472
PUERTO.PLC12.OZONO_POWER_CONVERTER,0.2256944477558136,78.76736450195312
PUERTO.PLC1A.CNSG_Q_SAL_BALSON,0.0,2503.0
PUERTO.PLC1B.Q_ENT_PLANTA,1057.5810546875,2853.00927734375
PUERTO.PLC1B.VRE_REGU,0.0,60.0
PUERTO.PLC1B.VRE_REGU_1,0.0,60.0
PUERTO.PLC2.Q_DEC1_VALOR,0.0,2004.1400146484373
PUERTO.PLC2.Q_DEC2_VALOR,0.0,4.6392130851745605
PUERTO.PLC2.Q_DEC3_VALOR,0.0,1414.9599609375
PUERTO.PLC3.CLORO_DECL1,0.0358796305954456,2.0
PUERTO.PLC3.MRAD1_TELEM,0.0,1.0
PUERTO.PLC3.MRAD2_TELEM,0.0,0.0
PUERTO.PLC3.MRAD3_TELEM,0.0,0.0
PUERTO.PLC3.MRTD1_TELEM,0.0,1.0
PUERTO.PLC3.MRTD2_TELEM,0.0,0.0
PUERTO.PLC3.MRTD3_TELEM,0.0,1.0
PUERTO.PLC3.PHL1,7.260995388031006,7.900463104248047
PUERTO.PLC3.PH_PLC2,6.574073791503906,10.0
PUERTO.PLC3.TURBIDEZL1,0.1417824029922485,5.0
PUERTO.PLC3.VPFD1_TELEM,0.0,1.0
PUERTO.PLC3.VPFD2_TELEM,0.0,0.0
PUERTO.PLC3.VPFD3_TELEM,0.0,1.0
PUERTO.PLC4.CONDUCTIVIDAD,386.5740661621094,1032.4073486328125
PUERTO.PLC5A.F1_PASO_0,0.0,0.0
PUERTO.PLC5A.F1_PASO_1,0.0,1.0
PUERTO.PLC5A.F2_PASO_0,0.0,1.0
PUERTO.PLC5A.F2_PASO_1,0.0,1.0
PUERTO.PLC5A.F3_PASO_0,0.0,1.0
PUERTO.PLC5A.F3_PASO_1,0.0,1.0
PUERTO.PLC5A.F4_PASO_0,0.0,1.0
PUERTO.PLC5A.F4_PASO_1,0.0,1.0
PUERTO.PLC5A.F5_PASO_0,0.0,1.0
PUERTO.PLC5A.F5_PASO_1,0.0,1.0
PUERTO.PLC5A.F6_PASO_0,0.0,1.0
PUERTO.PLC5A.F6_PASO_1,0.0,1.0
PUERTO.PLC5B.F10_PASO_0,0.0,1.0
PUERTO.PLC5B.F10_PASO_1,0.0,1.0
PUERTO.PLC5B.F11_PASO_0,0.0,1.0
PUERTO.PLC5B.F11_PASO_1,0.0,1.0
PUERTO.PLC5B.F12_PASO_0,0.0,1.0
PUERTO.PLC5B.F12_PASO_1,0.0,1.0
PUERTO.PLC5B.F7_PASO_0,0.0,1.0
PUERTO.PLC5B.F7_PASO_1,0.0,1.0
PUERTO.PLC5B.F8_PASO_0,0.0,0.0
PUERTO.PLC5B.F8_PASO_1,0.0,0.0
PUERTO.PLC5B.F9_PASO_0,0.0,1.0
PUERTO.PLC5B.F9_PASO_1,0.0,1.0
PUERTO.PLC7.TURBIDEZ_PLC2,1.591435194015503,884.8379516601562
PUERTO.PLC9.DOSIFICACION_CLORO_POST,1.2000000476837158,1.2000000476837158
PUERTO.PLC9.DOSIFICACION_CLORO_PRE,2.0999999046325684,2.0999999046325684
