name,type
PUERTO.PLC11.CLORO_PLC11,MCT_RETRAIN Device
PUERTO.PLC11.TURBIDEZ_PLC11,MCT_RETRAIN Device
PUERTO.PLC12.OZONO_POWER_CONVERTER,MCT_RETRAIN Device
PUERTO.PLC1A.CNSG_Q_SAL_BALSON,MCT_RETRAIN Device
PUERTO.PLC1B.Q_ENT_PLANTA,MCT_RETRAIN Device
PUERTO.PLC1B.VRE_REGU,MCT_RETRAIN Device
PUERTO.PLC1B.VRE_REGU_1,MCT_RETRAIN Device
PUERTO.PLC2.Q_DEC1_VALOR,MCT_RETRAIN Device
PUERTO.PLC2.Q_DEC2_VALOR,MCT_RETRAIN Device
PUERTO.PLC2.Q_DEC3_VALOR,MCT_RETRAIN Device
PUERTO.PLC3.CLORO_DECL1,MCT_RETRAIN Device
PUERTO.PLC3.MRAD1_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.MRAD2_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.MRAD3_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.MRTD1_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.MRTD2_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.MRTD3_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.PHL1,MCT_RETRAIN Device
PUERTO.PLC3.PH_PLC2,MCT_RETRAIN Device
PUERTO.PLC3.TURBIDEZL1,MCT_RETRAIN Device
PUERTO.PLC3.VPFD1_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.VPFD2_TELEM,MCT_RETRAIN Device
PUERTO.PLC3.VPFD3_TELEM,MCT_RETRAIN Device
PUERTO.PLC4.CONDUCTIVIDAD,MCT_RETRAIN Device
PUERTO.PLC5A.F1_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F1_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5A.F2_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F2_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5A.F3_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F3_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5A.F4_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F4_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5A.F5_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F5_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5A.F6_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5A.F6_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F10_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F10_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F11_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F11_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F12_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F12_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F7_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F7_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F8_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F8_PASO_1,MCT_RETRAIN Device
PUERTO.PLC5B.F9_PASO_0,MCT_RETRAIN Device
PUERTO.PLC5B.F9_PASO_1,MCT_RETRAIN Device
PUERTO.PLC7.TURBIDEZ_PLC2,MCT_RETRAIN Device
PUERTO.PLC9.DOSIFICACION_CLORO_POST,MCT_RETRAIN Device
PUERTO.PLC9.DOSIFICACION_CLORO_PRE,MCT_RETRAIN Device
