name,type
P1_STATE,SWAT
LIT101.Pv,SWAT
FIT101.Pv,SWAT
MV101.Status,SWAT
P101.Status,SWAT
P102.Status,SWAT
P2_STATE,SWAT
FIT201.Pv,SWAT
AIT201.Pv,SWAT
AIT202.Pv,SWAT
AIT203.Pv,SWAT
MV201.Status,SWAT
P201.Status,SWAT
P202.Status,SWAT
P203.Status,SWAT
P204.Status,SWAT
P205.Status,SWAT
P206.Status,SWAT
P207.Status,SWAT
P208.Status,SWAT
LS201.Alarm,SWAT
LS202.Alarm,SWAT
LSL203.Alarm,SWAT
LSLL203.Alarm,SWAT
P3_STATE,SWAT
AIT301.Pv,SWAT
AIT302.Pv,SWAT
AIT303.Pv,SWAT
LIT301.Pv,SWAT
FIT301.Pv,SWAT
DPIT301.Pv,SWAT
MV301.Status,SWAT
MV302.Status,SWAT
MV303.Status,SWAT
MV304.Status,SWAT
P301.Status,SWAT
P302.Status,SWAT
PSH301.Alarm,SWAT
DPSH301.Alarm,SWAT
P4_STATE,SWAT
LIT401.Pv,SWAT
FIT401.Pv,SWAT
AIT401.Pv,SWAT
AIT402.Pv,SWAT
P401.Status,SWAT
P402.Status,SWAT
P403.Status,SWAT
P404.Status,SWAT
UV401.Status,SWAT
LS401.Alarm,SWAT
P5_STATE,SWAT
FIT501.Pv,SWAT
FIT502.Pv,SWAT
FIT503.Pv,SWAT
FIT504.Pv,SWAT
AIT501.Pv,SWAT
AIT502.Pv,SWAT
AIT503.Pv,SWAT
AIT504.Pv,SWAT
PIT501.Pv,SWAT
PIT502.Pv,SWAT
PIT503.Pv,SWAT
P501.Status,SWAT
P502.Status,SWAT
MV501.Status,SWAT
MV502.Status,SWAT
MV503.Status,SWAT
MV504.Status,SWAT
PSH501.Alarm,SWAT
PSL501.Alarm,SWAT
P6_STATE,SWAT
FIT601.Pv,SWAT
P601.Status,SWAT
P602.Status,SWAT
P603.Status,SWAT
LSH601.Alarm,SWAT
LSL601.Alarm,SWAT
LSH602.Alarm,SWAT
LSL602.Alarm,SWAT
LSH603.Alarm,SWAT
LSL603.Alarm,SWAT
