sensor,min,max
P1_STATE,2.0,3.0
LIT101.Pv,490.031433,833.5323
FIT101.Pv,0.0,4.392275
MV101.Status,0.0,2.0
P101.Status,0.0,2.0
P102.Status,1.0,1.0
P2_STATE,2.0,2.0
FIT201.Pv,0.0,2.35248137
AIT201.Pv,23.51961,82.67111
AIT202.Pv,7.545373,9.160984
AIT203.Pv,96.05229,164.573181
MV201.Status,0.0,2.0
P201.Status,1.0,2.0
P202.Status,1.0,1.0
P203.Status,1.0,2.0
P204.Status,1.0,1.0
P205.Status,1.0,1.0
P206.Status,1.0,1.0
P207.Status,1.0,1.0
P208.Status,1.0,1.0
LS201.Alarm,0.0,0.0
LS202.Alarm,0.0,0.0
LSL203.Alarm,0.0,0.0
LSLL203.Alarm,0.0,0.0
P3_STATE,2.0,99.0
AIT301.Pv,6.79294443,7.716403
AIT302.Pv,135.98822,182.085922
AIT303.Pv,33.77297,369.0697
LIT301.Pv,791.5038,1011.67975
FIT301.Pv,0.0,2.04413414
DPIT301.Pv,0.025609834,14.5303793
MV301.Status,0.0,2.0
MV302.Status,0.0,2.0
MV303.Status,0.0,2.0
MV304.Status,0.0,2.0
P301.Status,1.0,2.0
P302.Status,1.0,1.0
PSH301.Alarm,0.0,0.0
DPSH301.Alarm,0.0,0.0
P4_STATE,4.0,4.0
LIT401.Pv,779.569336,1001.12793
FIT401.Pv,1.34848583,1.37294316
AIT401.Pv,0.0,0.0
AIT402.Pv,194.821838,195.232
P401.Status,2.0,2.0
P402.Status,1.0,1.0
P403.Status,2.0,2.0
P404.Status,1.0,1.0
UV401.Status,2.0,2.0
LS401.Alarm,0.0,0.0
P5_STATE,12.0,12.0
FIT501.Pv,1.34555244,1.38195336
FIT502.Pv,1.174715,1.28064561
FIT503.Pv,0.108568326,0.115225814
FIT504.Pv,0.0,0.0
AIT501.Pv,7.01474,7.16309929
AIT502.Pv,189.2848,208.07486
AIT503.Pv,29.2232761,49.0899773
AIT504.Pv,0.422968477,2.49935913
PIT501.Pv,219.078445,222.074463
PIT502.Pv,3.25185013,3.60426736
PIT503.Pv,192.242371,195.126251
P501.Status,2.0,2.0
P502.Status,1.0,1.0
MV501.Status,2.0,2.0
MV502.Status,2.0,2.0
MV503.Status,1.0,1.0
MV504.Status,1.0,1.0
PSH501.Alarm,0.0,0.0
PSL501.Alarm,0.0,0.0
P6_STATE,2.0,2.0
FIT601.Pv,0.0,1.81450033
P601.Status,1.0,2.0
P602.Status,1.0,2.0
P603.Status,1.0,1.0
LSH601.Alarm,0.0,1.0
LSL601.Alarm,0.0,0.0
LSH602.Alarm,1.0,1.0
LSL602.Alarm,0.0,0.0
LSH603.Alarm,0.0,0.0
LSL603.Alarm,1.0,1.0
