node_id,label,state,in_prob,out_prob,entropy_in,entropy_out
0,POT_CCM,3,0.65643805,0.65643805,0.6433699,0.6433699
1,TURB1,3,0.65643805,0.65643805,0.6433699,0.6433699
2,CAUDAL_PURGA,3,0.65643805,0.65643805,0.6433699,0.6433699
3,REDOX_SAL,3,0.65643805,0.65643805,0.6433699,0.6433699
4,CLORO_SAL,3,0.65643805,0.65643805,0.6433699,0.6433699
5,CAUDAL_TERCIARIO,3,0.65643805,0.65643805,0.6433699,0.6433699
6,FT1,3,0.65643805,0.65643805,0.6433699,0.6433699
7,pH_Entrada,3,0.65643805,0.65643805,0.6433699,0.6433699
8,SH2_AguaBruta,3,0.65643805,0.65643805,0.6433699,0.6433699
9,SH2_Pretratamiento,3,0.65643805,0.65643805,0.6433699,0.6433699
10,POT_CCM3,3,0.65643805,0.65643805,0.6433699,0.6433699
11,Redox_Bio_Lin_1,3,0.65643805,0.65643805,0.6433699,0.6433699
12,Redox_Bio_Lin_2,3,0.65643805,0.65643805,0.6433699,0.6433699
13,reserva4,3,0.65643805,0.65643805,0.6433699,0.6433699
14,ODZ3_L2,3,0.65643805,0.65643805,0.6433699,0.6433699
15,SAB,3,0.65643805,0.65643805,0.6433699,0.6433699
16,FT10,3,0.65643805,0.65643805,0.6433699,0.6433699
17,TT5,3,0.65643805,0.65643805,0.6433699,0.6433699
18,TT6,3,0.65643805,0.65643805,0.6433699,0.6433699
19,SM2,3,0.65643805,0.65643805,0.6433699,0.6433699
20,SM3,3,0.65643805,0.65643805,0.6433699,0.6433699
21,SN1,3,0.65643805,0.65643805,0.6433699,0.6433699
22,SAB2,3,0.65643805,0.65643805,0.6433699,0.6433699
23,CLOR2,3,0.65643805,0.65643805,0.6433699,0.6433699
24,POTASIO2,3,0.65643805,0.65643805,0.6433699,0.6433699
25,REe,3,0.65643805,0.65643805,0.6433699,0.6433699
26,TT7,3,0.65643805,0.65643805,0.6433699,0.6433699
27,TT8,3,0.65643805,0.65643805,0.6433699,0.6433699
28,FT11,3,0.65643805,0.65643805,0.6433699,0.6433699
29,FT12,3,0.65643805,0.65643805,0.6433699,0.6433699
30,FIT13_PLC4,3,0.65643805,0.65643805,0.6433699,0.6433699
